序号,经度,纬度,航向角(度)
#bridge_5B-6B
1,110.64741549,35.60589857,179.80
2,110.64741596,35.60579115,179.80
3,110.64741642,35.60568374,179.88
#bridge_6A-7bB
4,110.64741690,35.60550265,182.22
5,110.64741521,35.60546725,179.74
#bridge_7bA-7A
6,110.64741624,35.60528620,89.85
7,110.64753083,35.60528645,89.85
8,110.64764542,35.60528670,89.85
9,110.64776001,35.60528695,179.63
#bridge_8B-9A
10,110.64776029,35.60525247,179.87
11,110.64776064,35.60512645,179.87
12,110.64776099,35.60500043,179.80
#bridge_10A-11B
13,110.64776161,35.60485301,179.53
14,110.64776265,35.60475014,179.90
#bridge_11A-12B
15,110.64776313,35.60452750,179.55
16,110.64776416,35.60442191,179.83
#bridge_12A-13B
17,110.64776464,35.60429273,179.99
18,110.64776464,35.60426222,179.88
#bridge_13A-14B
19,110.64776491,35.60415390,179.72
20,110.64776557,35.60404402,179.57
#bridge_14A-15B
21,110.64776724,35.60386301,180.61
22,110.64776678,35.60382802,213.09
#E15
23,110.64775246,35.60381016,269.90
24,110.64759791,35.60380993,269.90
25,110.64744335,35.60380971,269.90
26,110.64741035,35.60380966,269.90
27,110.64728883,35.60380949,269.90
28,110.64728882,35.60380949,179.90
29,110.64728884,35.60380044,89.90
30,110.64741036,35.60380061,89.90
31,110.64744337,35.60380066,89.90
32,110.64759793,35.60380089,89.90
33,110.64775249,35.60380111,89.90
34,110.64775249,35.60380111,179.90
35,110.64775251,35.60379206,269.90
36,110.64759795,35.60379184,269.90
37,110.64744339,35.60379162,269.90
38,110.64741038,35.60379157,269.90
39,110.64728886,35.60379139,269.90
40,110.64728885,35.60379139,179.90
41,110.64728887,35.60378235,89.90
42,110.64741039,35.60378252,89.90
43,110.64744342,35.60378257,89.90
44,110.64759798,35.60378279,89.90
45,110.64775253,35.60378302,89.90
46,110.64775254,35.60378302,179.90
47,110.64775256,35.60377397,269.90
48,110.64759800,35.60377375,269.90
49,110.64744344,35.60377352,269.90
50,110.64741041,35.60377347,269.90
51,110.64728889,35.60377330,269.90
52,110.64728888,35.60377330,179.90
53,110.64728890,35.60376425,89.90
54,110.64741042,35.60376443,89.90
55,110.64744346,35.60376448,89.90
56,110.64759802,35.60376470,89.90
57,110.64775258,35.60376492,89.90
58,110.64775258,35.60376492,179.90
59,110.64775260,35.60375588,269.90
60,110.64759804,35.60375565,269.90
61,110.64744349,35.60375543,269.90
62,110.64741044,35.60375538,269.90
63,110.64728892,35.60375521,269.90
64,110.64728891,35.60375521,179.90
65,110.64728893,35.60374616,89.90
66,110.64741045,35.60374634,89.90
67,110.64744351,35.60374638,89.90
68,110.64759807,35.60374661,89.90
69,110.64775263,35.60374683,89.90
70,110.64775263,35.60374683,179.90
71,110.64775265,35.60373778,269.90
72,110.64759809,35.60373756,269.90
73,110.64744353,35.60373734,269.90
74,110.64741047,35.60373729,269.90
75,110.64728895,35.60373711,269.90
76,110.64728893,35.60373711,179.90
77,110.64728899,35.60370997,89.90
78,110.64741051,35.60371015,89.90
79,110.64741052,35.60371015,359.90
80,110.64741050,35.60371920,269.90
81,110.64728897,35.60371902,89.90
82,110.64728898,35.60371902,359.90
83,110.64728896,35.60372807,89.90
84,110.64741048,35.60372824,89.90
85,110.64744356,35.60372829,89.90
86,110.64759811,35.60372851,89.90
87,110.64775267,35.60372874,127.53
#bridge_15-16B
88,110.64776706,35.60371975,179.77
89,110.64776706,35.60371885,179.78
90,110.64776759,35.60360854,178.60
91,110.64776803,35.60359386,220.81
92,110.64775370,35.60358036,269.98
#E16
93,110.64759900,35.60358032,269.98
94,110.64744430,35.60358028,269.98
95,110.64728960,35.60358023,179.98
96,110.64728960,35.60357119,89.98
97,110.64744430,35.60357123,89.98
98,110.64759900,35.60357127,89.98
99,110.64775370,35.60357132,179.98
100,110.64775370,35.60356227,269.98
101,110.64759900,35.60356223,269.98
102,110.64744430,35.60356218,269.98
103,110.64728960,35.60356214,179.98
104,110.64728961,35.60355309,89.98
105,110.64744431,35.60355314,89.98
106,110.64759901,35.60355318,89.98
