序号,经度,纬度,航向角(度)
#bridge_5B-6B
1,110.64741549,35.60589857,179.80
2,110.64741596,35.60579115,179.80
3,110.64741642,35.60568374,179.88
#connector
4,110.64741666,35.60559320,179.88
5,110.64741690,35.60550265,182.22
#bridge_6A-7bB
6,110.64741521,35.60546725,179.74
#connector
7,110.64741573,35.60537673,179.74
8,110.64741624,35.60528620,89.85
#bridge_7bA-7A
9,110.64753083,35.60528645,89.85
10,110.64764542,35.60528670,89.85
11,110.64776001,35.60528695,179.63
#connector
12,110.64776029,35.60525247,179.87
#bridge_8B-9A
13,110.64776064,35.60512645,179.87
14,110.64776099,35.60500043,179.73
#connector
15,110.64776141,35.60492667,179.73
16,110.64776183,35.60485292,179.63
#bridge_10A-11B
17,110.64776265,35.60475014,179.90
#connector
18,110.64776289,35.60463882,179.90
19,110.64776313,35.60452750,179.55
#bridge_11A-12B
20,110.64776416,35.60442191,179.83
#connector
21,110.64776464,35.60429273,179.99
#bridge_12A-13B
22,110.64776464,35.60426222,179.88
#connector
23,110.64776491,35.60415390,179.72
#bridge_13A-14B
24,110.64776557,35.60404402,179.57
#connector
25,110.64776641,35.60395351,179.57
26,110.64776724,35.60386301,180.61
#bridge_14A-15B
27,110.64776678,35.60382802,179.88
#connector
28,110.64776706,35.60371975,179.77
#bridge_15A-16B
29,110.64776761,35.60360864,179.83
#connector
30,110.64776786,35.60353887,179.83
31,110.64776811,35.60346909,180.25
#bridge_16A-17B
32,110.64776797,35.60344504,179.67
#connector
33,110.64776847,35.60337546,179.67
34,110.64776897,35.60330588,179.67
#bridge_17A-18B
35,110.64776922,35.60327065,179.76
#connector
36,110.64776956,35.60320372,179.95
#bridge_18A-19B
37,110.64776966,35.60310123,179.86
#connector
38,110.64777002,35.60298481,179.86
39,110.64777038,35.60286840,179.24
#bridge_19A-20B
40,110.64777090,35.60283616,179.79
#connector
41,110.64777128,35.60275091,179.79
42,110.64777166,35.60266566,179.70
#bridge_20A-21B
43,110.64777235,35.60255990,179.93
#connector
44,110.64777254,35.60244104,179.19
#bridge_21A-22B
45,110.64777310,35.60240849,204.04
#E22
46,110.64776869,35.60240046,269.64
47,110.64760383,35.60239961,269.64
48,110.64743896,35.60239875,269.64
49,110.64742598,35.60239869,269.64
50,110.64728392,35.60239795,269.64
51,110.64728392,35.60239795,179.64
52,110.64728399,35.60238891,89.64
53,110.64742605,35.60238964,89.64
54,110.64743898,35.60238971,89.64
55,110.64760384,35.60239056,89.64
56,110.64776871,35.60239141,269.64
57,110.64776865,35.60239141,179.64
58,110.64776872,35.60238237,269.64
59,110.64760386,35.60238151,269.64
60,110.64743899,35.60238066,269.64
61,110.64742611,35.60238059,269.64
62,110.64728406,35.60237986,269.64
63,110.64728405,35.60237986,179.64
64,110.64728412,35.60237081,89.64
65,110.64742618,35.60237155,89.64
66,110.64743901,35.60237161,89.64
67,110.64760387,35.60237247,89.64
68,110.64776874,35.60237332,269.64
69,110.64776868,35.60237332,179.64
70,110.64776875,35.60236427,269.64
71,110.64760389,35.60236342,269.64
72,110.64743902,35.60236257,269.64
73,110.64742625,35.60236250,269.64
74,110.64728419,35.60236177,269.64
75,110.64728418,35.60236177,179.64
76,110.64728425,35.60235272,89.64
77,110.64742631,35.60235346,89.64
78,110.64743904,35.60235352,89.64
79,110.64760390,35.60235437,89.64
80,110.64776876,35.60235523,269.64
81,110.64776871,35.60235523,179.64
82,110.64776878,35.60234618,269.64
83,110.64760391,35.60234533,269.64
84,110.64743905,35.60234448,269.64
85,110.64742638,35.60234441,269.64
86,110.64728432,35.60234368,269.64
87,110.64728432,35.60234368,179.64
88,110.64728439,35.60233463,89.64
89,110.64742644,35.60233536,89.64
90,110.64743906,35.60233543,89.64
91,110.64760393,35.60233628,89.64
92,110.64776879,35.60233713,269.64
93,110.64776874,35.60233713,179.64
94,110.64776881,35.60232809,269.64
95,110.64760394,35.60232723,269.64
96,110.64743908,35.60232638,269.64
97,110.64742651,35.60232632,269.64
98,110.64728445,35.60232558,269.64
99,110.64728445,35.60232558,179.64
