序号,经度,纬度,航向角(度)
#bridge_5B-6B
1,110.64741439,35.60589766,179.80
2,110.64741485,35.60579115,179.80
3,110.64741531,35.60568464,179.89
#bridge_5B-6B_mid
4,110.64741554,35.60559321,179.89
#bridge_6A-7bB
5,110.64741576,35.60550179,182.22
6,110.64741415,35.60546819,179.17
#bridge_6A-7bB_mid
7,110.64741574,35.60537855,179.17
#bridge_7bA-7A
8,110.64741733,35.60528891,89.85
9,110.64752972,35.60528915,89.85
10,110.64764210,35.60528940,89.85
11,110.64775449,35.60528965,155.89
#bridge_8B-9B
12,110.64775907,35.60528132,179.82
13,110.64775955,35.60515918,179.82
14,110.64776004,35.60503704,200.11
#E9_start
15,110.64775736,35.60503110,269.52
16,110.64759750,35.60503001,269.52
17,110.64743764,35.60502892,269.52
18,110.64727779,35.60502784,179.53
19,110.64727788,35.60501882,89.52
20,110.64743774,35.60501991,89.52
21,110.64759759,35.60502099,89.52
22,110.64775745,35.60502208,179.53
23,110.64775754,35.60501306,269.52
24,110.64759769,35.60501198,269.52
25,110.64743783,35.60501089,269.52
26,110.64727797,35.60500981,179.53
27,110.64727806,35.60500079,89.52
28,110.64743792,35.60500188,89.52
29,110.64759778,35.60500296,89.52
30,110.64775764,35.60500405,157.88
#bridge_9-10B
31,110.64775991,35.60499951,178.78
32,110.64776048,35.60497748,270.23
#bridge_9-10B_mid
33,110.64759783,35.60497801,270.23
34,110.64743518,35.60497854,270.23
#E10_long_block
35,110.64727253,35.60497906,90.15
36,110.64741633,35.60497875,180.15
37,110.64741630,35.60496973,270.15
38,110.64727250,35.60497005,180.15
39,110.64727247,35.60496103,90.15
40,110.64741627,35.60496072,180.15
41,110.64741624,35.60495170,270.15
42,110.64727244,35.60495201,180.15
43,110.64727241,35.60494300,90.15
44,110.64741621,35.60494268,180.15
45,110.64741618,35.60493367,270.15
46,110.64727238,35.60493398,180.15
47,110.64727235,35.60492496,90.15
48,110.64741615,35.60492465,180.15
49,110.64741613,35.60491563,270.15
50,110.64727232,35.60491595,180.15
51,110.64727229,35.60490693,90.15
52,110.64741610,35.60490662,180.15
53,110.64741607,35.60489760,270.15
54,110.64727226,35.60489791,180.15
55,110.64727224,35.60488890,90.15
56,110.64741604,35.60488859,180.15
