#序号,经度,纬度,航向角(度)
#south_4
1,110.64741373,35.60611349,269.79
2,110.64726492,35.60611304,179.79
3,110.64726496,35.60610222,89.79
4,110.64741378,35.60610267,179.79
5,110.64741383,35.60609185,269.79
6,110.64726501,35.60609140,179.79
7,110.64726506,35.60608058,89.79
8,110.64741387,35.60608103,179.79
9,110.64741392,35.60607021,269.79
10,110.64726511,35.60606976,179.79
11,110.64726516,35.60605894,89.79
12,110.64741397,35.60605939,179.79
13,110.64741402,35.60604857,269.79
14,110.64726521,35.60604812,179.79
15,110.64726526,35.60603730,89.79
16,110.64741407,35.60603775,179.79
17,110.64741412,35.60602693,269.79
18,110.64726531,35.60602648,179.79
19,110.64726536,35.60601566,89.79
20,110.64741417,35.60601611,179.79
21,110.64741422,35.60600529,269.79
22,110.64726540,35.60600484,179.79
23,110.64726545,35.60599402,89.79
24,110.64741426,35.60599447,179.79
25,110.64741431,35.60598365,269.79
26,110.64726550,35.60598320,179.79
27,110.64726555,35.60597239,89.79
28,110.64741436,35.60597283,179.79
29,110.64741441,35.60596201,269.79
30,110.64726560,35.60596157,179.79
31,110.64726565,35.60595075,89.79
32,110.64741446,35.60595119,179.79
33,110.64741451,35.60594037,269.79
34,110.64726570,35.60593993,179.79
35,110.64726573,35.60593381,89.79
36,110.64741454,35.60593425,180.19
#south_5
37,110.64741439,35.60589766,269.76
38,110.64726511,35.60589716,179.77
39,110.64726516,35.60588634,89.76
40,110.64741444,35.60588684,179.77
41,110.64741450,35.60587602,269.76
42,110.64726522,35.60587552,179.77
43,110.64726527,35.60586470,89.76
44,110.64741455,35.60586520,179.77
45,110.64741461,35.60585438,269.76
46,110.64726533,35.60585388,179.77
47,110.64726538,35.60584307,89.76
48,110.64741466,35.60584356,179.77
49,110.64741472,35.60583274,269.76
50,110.64726543,35.60583225,179.77
51,110.64726549,35.60582143,89.76
52,110.64741477,35.60582192,179.77
53,110.64741482,35.60581111,269.76
54,110.64726554,35.60581061,179.77
55,110.64726560,35.60579979,89.76
56,110.64741488,35.60580029,179.77
57,110.64741493,35.60578947,269.76
58,110.64726565,35.60578897,179.77
59,110.64726570,35.60577815,89.76
60,110.64741499,35.60577865,179.77
61,110.64741504,35.60576783,269.76
62,110.64726576,35.60576733,179.77
63,110.64726581,35.60575651,89.76
64,110.64741510,35.60575701,179.77
65,110.64741515,35.60574619,269.76
66,110.64726587,35.60574569,179.77
67,110.64726592,35.60573487,89.76
68,110.64741520,35.60573537,179.77
69,110.64741526,35.60572455,269.76
70,110.64726598,35.60572405,179.77
71,110.64726601,35.60571794,89.76
72,110.64741529,35.60571844,44.67
#back_5A-4A
73,110.64741529,35.60571844,359.84
74,110.64741454,35.60593245,0.00
#bridge-4A-5A
75,110.64741454,35.60593245,179.84
76,110.64741529,35.60571844,179.84
