#idx,lon,lat,heading_deg
1,110.64741373,35.60611349,269.79
2,110.64736957,35.60611336,269.79
3,110.64732540,35.60611322,269.79
4,110.64726492,35.60611304,179.79
5,110.64726496,35.60610222,89.79
6,110.64730913,35.60610235,89.79
7,110.64735329,35.60610249,89.79
8,110.64741378,35.60610267,179.79
9,110.64741383,35.60609185,269.79
10,110.64736966,35.60609172,269.79
11,110.64732550,35.60609158,269.79
12,110.64726501,35.60609140,179.79
13,110.64726506,35.60608058,89.79
14,110.64730922,35.60608071,89.79
15,110.64735339,35.60608085,89.79
16,110.64741387,35.60608103,179.79
17,110.64741392,35.60607021,269.79
18,110.64736976,35.60607008,269.79
19,110.64732560,35.60606994,269.79
20,110.64726511,35.60606976,179.79
21,110.64726516,35.60605894,89.79
22,110.64730932,35.60605908,89.79
23,110.64735348,35.60605921,89.79
24,110.64741397,35.60605939,179.79
25,110.64741402,35.60604857,269.79
26,110.64736986,35.60604844,269.79
27,110.64732570,35.60604830,269.79
28,110.64726521,35.60604812,179.79
29,110.64726526,35.60603730,89.79
30,110.64730942,35.60603744,89.79
31,110.64735358,35.60603757,89.79
32,110.64741407,35.60603775,179.79
33,110.64741412,35.60602693,269.79
34,110.64736996,35.60602680,269.79
35,110.64732579,35.60602667,269.79
36,110.64726531,35.60602648,179.79
37,110.64726536,35.60601566,89.79
38,110.64730952,35.60601580,89.79
39,110.64735368,35.60601593,89.79
40,110.64741417,35.60601611,179.79
41,110.64741422,35.60600529,269.79
42,110.64737005,35.60600516,269.79
43,110.64732589,35.60600503,269.79
44,110.64726540,35.60600484,179.79
45,110.64726545,35.60599402,89.79
46,110.64730962,35.60599416,89.79
47,110.64735378,35.60599429,89.79
48,110.64741426,35.60599447,179.79
49,110.64741431,35.60598365,269.79
50,110.64737015,35.60598352,269.79
51,110.64732599,35.60598339,269.79
52,110.64726550,35.60598320,179.79
53,110.64726555,35.60597239,89.79
54,110.64730971,35.60597252,89.79
55,110.64735388,35.60597265,89.79
56,110.64741436,35.60597283,179.79
57,110.64741441,35.60596201,269.79
58,110.64737025,35.60596188,269.79
59,110.64732609,35.60596175,269.79
60,110.64726560,35.60596157,179.79
61,110.64726565,35.60595075,89.79
62,110.64730981,35.60595088,89.79
63,110.64735397,35.60595101,89.79
64,110.64741446,35.60595119,179.79
65,110.64741451,35.60594037,269.79
66,110.64737035,35.60594024,269.79
67,110.64732619,35.60594011,269.79
68,110.64726570,35.60593993,179.79
69,110.64726573,35.60593381,89.79
70,110.64730989,35.60593394,89.79
71,110.64735405,35.60593407,89.79
72,110.64741454,35.60593425,180.19
73,110.64741439,35.60589766,269.76
74,110.64737023,35.60589751,269.76
75,110.64732607,35.60589737,269.76
76,110.64726511,35.60589716,179.77
77,110.64726516,35.60588634,89.76
78,110.64730932,35.60588649,89.76
79,110.64735349,35.60588664,89.76
80,110.64741444,35.60588684,179.77
81,110.64741450,35.60587602,269.76
82,110.64737034,35.60587588,269.76
83,110.64732618,35.60587573,269.76
84,110.64726522,35.60587552,179.77
85,110.64726527,35.60586470,89.76
86,110.64730943,35.60586485,89.76
87,110.64735359,35.60586500,89.76
88,110.64741455,35.60586520,179.77
89,110.64741461,35.60585438,269.76
90,110.64737045,35.60585424,269.76
91,110.64732628,35.60585409,269.76
