序号,经度,纬度,航向角(度)
#bridge_5B-6B
1,110.64741439,35.60589766,179.80
2,110.64741485,35.60579115,179.80
3,110.64741531,35.60568464,179.89
#bridge_5B-6B_mid
4,110.64741554,35.60559321,179.89
#bridge_6A-7bB
5,110.64741576,35.60550179,182.22
6,110.64741415,35.60546819,179.17
#bridge_6A-7bB_mid
7,110.64741574,35.60537855,179.17
#bridge_7bA-7A
8,110.64741733,35.60528891,89.85
9,110.64752972,35.60528915,89.85
10,110.64764210,35.60528940,89.85
11,110.64775449,35.60528965,155.73
#bridge_8B-9A
12,110.64775910,35.60528132,179.87
13,110.64775946,35.60515124,179.87
14,110.64775982,35.60502117,233.14
#bridge-E9-W9
15,110.64773676,35.60500711,270.02
16,110.64757417,35.60500716,270.02
17,110.64741158,35.60500721,270.02
18,110.64724899,35.60500726,270.02
19,110.64708640,35.60500732,265.99
#bridge_9B-10bA
20,110.64694177,35.60499907,180.31
21,110.64694165,35.60498024,224.86
#bridge_10bA-10A
22,110.64693944,35.60497844,269.66
23,110.64682900,35.60497790,269.66
24,110.64671856,35.60497736,269.66
25,110.64660812,35.60497683,183.26
#bridge_10B-11A
26,110.64659908,35.60484768,179.94
27,110.64659922,35.60473862,179.69
#bridge_10B-11A_mid
28,110.64659993,35.60463171,179.69
#bridge_W11B-W12A
29,110.64660063,35.60452481,179.86
30,110.64660093,35.60442273,179.66
#bridge_W12B-W14A
31,110.64660189,35.60429169,179.97
32,110.64660197,35.60416780,179.97
33,110.64660205,35.60404391,179.99
#bridge_W12B-W14A_mid
34,110.64660207,35.60395253,179.99
#bridge_W14B-W15A
35,110.64660210,35.60386115,178.52
36,110.64660314,35.60382853,179.85
#bridge_W14B-W15A_mid
37,110.64660340,35.60374759,179.85
#bridge_W15B-W17A
38,110.64660366,35.60366665,179.76
39,110.64660425,35.60355398,179.76
40,110.64660484,35.60344130,179.99
#bridge_W15B-W17A_mid
41,110.64660486,35.60332567,179.99
#bridge_W18B-W19B
42,110.64660488,35.60321004,179.75
43,110.64660549,35.60309705,179.75
44,110.64660610,35.60298405,179.75
45,110.64660671,35.60287106,44.66
#W19_start
46,110.64660891,35.60287287,89.77
47,110.64677080,35.60287339,89.77
48,110.64693270,35.60287391,89.77
