序号,经度,纬度,航向角(度)
#@ultrasonic_suppression={"areas":["E4-E4out1","bridge_E3-E3out2","bridge_E3out2-E3","bridge_E4out1-E4"]}
#bridge_E4midA-B
1,110.64741349,35.60595949,359.73
2,110.64741311,35.60602610,359.81
#E4-E4out1
3,110.64741280,35.60610103,89.74
4,110.64742855,35.60610108,0.10
#bridge_E3out2-E3
5,110.64742867,35.60615718,270.80
6,110.64741312,35.60615735,359.85
#bridge_E3out2-E3_mid
7,110.64741284,35.60624566,359.85
#bridge_3B-2A
8,110.64741256,35.60633397,359.77
9,110.64741239,35.60636701,182.57
#E3
10,110.64741037,35.60633036,269.75
11,110.64726786,35.60632984,179.75
12,110.64726835,35.60623968,89.75
13,110.64741085,35.60624019,179.75
14,110.64741131,35.60615519,269.75
15,110.64726881,35.60615468,89.75
16,110.64741131,35.60615519,34.29
#bridge_E3-E3out2
17,110.64741312,35.60615735,90.80
18,110.64742867,35.60615718,180.10
#bridge_E4out1-E4
19,110.64742855,35.60610108,269.74
20,110.64741280,35.60610103,354.46
#E4
21,110.64741153,35.60611168,269.79
22,110.64726934,35.60611125,179.79
23,110.64726975,35.60602109,89.79
24,110.64741193,35.60602152,179.79
25,110.64741232,35.60593605,269.79
26,110.64727013,35.60593562,89.79
27,110.64741232,35.60593605,89.79
