#序号,经度,纬度,航向角(度)
#area_0
1,110.64741580,35.60550355,269.88
2,110.64726664,35.60550329,359.88
3,110.64726661,35.60551449,89.88
4,110.64741577,35.60551476,359.88
5,110.64741574,35.60552596,269.88
6,110.64726658,35.60552570,359.88
7,110.64726655,35.60553690,89.88
8,110.64741571,35.60553717,359.88
9,110.64741568,35.60554837,269.88
10,110.64726652,35.60554811,359.88
11,110.64726649,35.60555931,89.88
12,110.64741565,35.60555958,359.88
13,110.64741562,35.60557078,269.88
14,110.64726646,35.60557052,359.88
15,110.64726643,35.60558173,89.88
16,110.64741559,35.60558199,359.88
17,110.64741556,35.60559319,269.88
18,110.64726640,35.60559293,359.88
19,110.64726638,35.60560414,89.88
20,110.64741553,35.60560440,359.88
21,110.64741550,35.60561561,269.88
22,110.64726635,35.60561534,359.88
23,110.64726632,35.60562655,89.88
24,110.64741547,35.60562681,359.88
25,110.64741544,35.60563802,269.88
26,110.64726629,35.60563775,359.88
27,110.64726626,35.60564896,89.88
28,110.64741541,35.60564922,359.88
29,110.64741538,35.60566043,269.88
30,110.64726623,35.60566016,359.88
31,110.64726620,35.60567137,89.88
32,110.64741535,35.60567163,359.88
33,110.64741532,35.60568284,269.88
34,110.64726617,35.60568257,89.88
35,110.64741532,35.60568284,359.96
#area_1
36,110.64741529,35.60571844,269.76
37,110.64726601,35.60571794,359.77
38,110.64726595,35.60572914,89.76
39,110.64741523,35.60572964,359.77
40,110.64741518,35.60574084,269.76
41,110.64726589,35.60574034,359.77
42,110.64726584,35.60575154,89.76
43,110.64741512,35.60575204,359.77
44,110.64741506,35.60576324,269.76
45,110.64726578,35.60576274,359.77
46,110.64726573,35.60577395,89.76
47,110.64741501,35.60577444,359.77
48,110.64741495,35.60578565,269.76
49,110.64726567,35.60578515,359.77
50,110.64726561,35.60579635,89.76
51,110.64741490,35.60579685,359.77
52,110.64741484,35.60580805,269.76
53,110.64726556,35.60580755,359.77
54,110.64726550,35.60581875,89.76
55,110.64741478,35.60581925,359.77
56,110.64741473,35.60583045,269.76
57,110.64726545,35.60582995,359.77
58,110.64726539,35.60584116,89.76
59,110.64741467,35.60584165,359.77
60,110.64741462,35.60585286,269.76
61,110.64726533,35.60585236,359.77
62,110.64726528,35.60586356,89.76
63,110.64741456,35.60586406,359.77
64,110.64741450,35.60587526,269.76
65,110.64726522,35.60587476,359.77
66,110.64726516,35.60588596,89.76
67,110.64741445,35.60588646,359.77
68,110.64741439,35.60589766,269.76
69,110.64726511,35.60589716,89.76
70,110.64741439,35.60589766,0.19
#area_2
71,110.64741454,35.60593425,269.79
72,110.64726573,35.60593381,359.79
73,110.64726567,35.60594501,89.79
74,110.64741449,35.60594546,359.79
75,110.64741444,35.60595666,269.79
76,110.64726562,35.60595621,359.79
77,110.64726557,35.60596741,89.79
78,110.64741438,35.60596786,359.79
79,110.64741433,35.60597906,269.79
80,110.64726552,35.60597861,359.79
81,110.64726547,35.60598982,89.79
82,110.64741428,35.60599026,359.79
83,110.64741423,35.60600147,269.79
84,110.64726542,35.60600102,359.79
85,110.64726537,35.60601222,89.79
86,110.64741418,35.60601267,359.79
87,110.64741413,35.60602387,269.79
88,110.64726532,35.60602342,359.79
89,110.64726527,35.60603462,89.79
90,110.64741408,35.60603507,359.79
91,110.64741403,35.60604628,269.79
92,110.64726522,35.60604583,359.79
93,110.64726517,35.60605703,89.79
94,110.64741398,35.60605748,359.79
95,110.64741393,35.60606868,269.79
96,110.64726512,35.60606823,359.79
97,110.64726507,35.60607943,89.79
98,110.64741388,35.60607988,359.79
99,110.64741383,35.60609108,269.79
100,110.64726502,35.60609064,359.79
101,110.64726497,35.60610184,89.79
102,110.64741378,35.60610229,359.79
103,110.64741373,35.60611349,269.79
104,110.64726492,35.60611304,89.79
105,110.64741373,35.60611349,359.77
#area_3
106,110.64741353,35.60615339,269.75
107,110.64726440,35.60615286,359.75
108,110.64726434,35.60616403,89.75
109,110.64741347,35.60616457,359.75
110,110.64741341,35.60617574,269.75
111,110.64726428,35.60617520,359.75
112,110.64726422,35.60618638,89.75
113,110.64741335,35.60618691,359.75
114,110.64741329,35.60619809,269.75
115,110.64726416,35.60619755,359.75
116,110.64726410,35.60620872,89.75
117,110.64741323,35.60620926,359.75
118,110.64741317,35.60622043,269.75
119,110.64726404,35.60621990,359.75
120,110.64726398,35.60623107,89.75
121,110.64741311,35.60623161,359.75
122,110.64741305,35.60624278,269.75
123,110.64726392,35.60624224,359.75
124,110.64726386,35.60625342,89.75
125,110.64741299,35.60625395,359.75
126,110.64741293,35.60626513,269.75
127,110.64726380,35.60626459,359.75
128,110.64726374,35.60627576,89.75
129,110.64741287,35.60627630,359.75
130,110.64741281,35.60628747,269.75
131,110.64726368,35.60628694,359.75
132,110.64726362,35.60629811,89.75
133,110.64741275,35.60629865,359.75
134,110.64741269,35.60630982,269.75
135,110.64726356,35.60630928,359.75
136,110.64726350,35.60632046,89.75
137,110.64741263,35.60632099,359.75
138,110.64741257,35.60633217,269.75
139,110.64726344,35.60633163,89.75
140,110.64741257,35.60633217,359.77
#area_4
141,110.64741239,35.60636882,269.85
142,110.64726311,35.60636850,359.85
143,110.64726307,35.60637968,89.85
144,110.64741235,35.60637999,359.85
145,110.64741232,35.60639117,269.85
146,110.64726304,35.60639086,359.85
147,110.64726300,35.60640204,89.85
148,110.64741228,35.60640235,359.85
149,110.64741225,35.60641353,269.85
150,110.64726297,35.60641321,359.85
151,110.64726293,35.60642439,89.85
152,110.64741221,35.60642470,359.85
153,110.64741217,35.60643588,269.85
154,110.64726290,35.60643557,359.85
155,110.64726286,35.60644675,89.85
156,110.64741214,35.60644706,359.85
157,110.64741210,35.60645824,269.85
158,110.64726283,35.60645792,359.85
159,110.64726279,35.60646910,89.85
160,110.64741207,35.60646941,359.85
161,110.64741203,35.60648059,269.85
162,110.64726275,35.60648028,359.85
163,110.64726272,35.60649146,89.85
164,110.64741200,35.60649177,359.85
165,110.64741196,35.60650295,269.85
166,110.64726268,35.60650263,359.85
167,110.64726265,35.60651381,89.85
168,110.64741193,35.60651412,359.85
169,110.64741189,35.60652530,269.85
170,110.64726261,35.60652499,359.85
171,110.64726258,35.60653617,89.85
172,110.64741186,35.60653648,359.85
173,110.64741182,35.60654766,269.85
174,110.64726254,35.60654734,89.85
175,110.64741182,35.60654766,359.83
#area_5
176,110.64741168,35.60658593,270.07
177,110.64726202,35.60658608,0.07
178,110.64726204,35.60659725,90.07
179,110.64741170,35.60659711,0.07
180,110.64741171,35.60660829,270.07
181,110.64726206,35.60660843,0.07
182,110.64726207,35.60661960,90.07
183,110.64741173,35.60661946,0.07
184,110.64741174,35.60663064,270.07
185,110.64726209,35.60663078,0.07
186,110.64726210,35.60664196,90.07
187,110.64741176,35.60664181,0.07
188,110.64741178,35.60665299,270.07
189,110.64726212,35.60665313,0.07
190,110.64726213,35.60666431,90.07
191,110.64741179,35.60666417,0.07
192,110.64741181,35.60667534,270.07
