#idx,lon,lat,heading_deg
1,120.07129427,30.32172610,174.82
2,120.07129465,30.32172251,174.82
3,120.07129503,30.32171891,174.82
4,120.07129540,30.32171532,174.82
5,120.07129578,30.32171173,174.82
6,120.07129616,30.32170814,174.82
7,120.07129653,30.32170455,174.82
8,120.07129691,30.32170096,174.82
9,120.07129729,30.32169737,174.82
10,120.07129766,30.32169377,174.82
11,120.07129804,30.32169018,174.82
12,120.07129842,30.32168659,174.82
13,120.07129879,30.32168300,174.82
14,120.07129917,30.32167941,174.82
15,120.07129955,30.32167582,174.82
16,120.07129992,30.32167223,174.82
17,120.07130059,30.32166586,84.77
18,120.07130473,30.32166619,84.77
19,120.07131021,30.32166662,354.82
20,120.07130983,30.32167021,354.82
21,120.07130946,30.32167380,354.82
22,120.07130908,30.32167739,354.82
23,120.07130870,30.32168098,354.82
24,120.07130833,30.32168458,354.82
25,120.07130795,30.32168817,354.82
26,120.07130757,30.32169176,354.82
27,120.07130720,30.32169535,354.82
28,120.07130682,30.32169894,354.82
29,120.07130644,30.32170253,354.82
30,120.07130607,30.32170612,354.82
31,120.07130569,30.32170971,354.82
32,120.07130531,30.32171331,354.82
33,120.07130494,30.32171690,354.82
34,120.07130456,30.32172049,354.82
35,120.07130389,30.32172686,84.77
36,120.07130803,30.32172718,84.77
37,120.07131351,30.32172762,174.82
38,120.07131389,30.32172402,174.82
39,120.07131426,30.32172043,174.82
40,120.07131464,30.32171684,174.82
41,120.07131502,30.32171325,174.82
42,120.07131539,30.32170966,174.82
43,120.07131577,30.32170607,174.82
44,120.07131615,30.32170248,174.82
45,120.07131652,30.32169889,174.82
46,120.07131690,30.32169529,174.82
47,120.07131728,30.32169170,174.82
48,120.07131766,30.32168811,174.82
49,120.07131803,30.32168452,174.82
50,120.07131841,30.32168093,174.82
51,120.07131879,30.32167734,174.82
52,120.07131916,30.32167375,174.82
53,120.07131983,30.32166738,84.77
54,120.07132397,30.32166771,84.77
55,120.07132945,30.32166814,354.82
56,120.07132907,30.32167173,354.82
57,120.07132870,30.32167532,354.82
58,120.07132832,30.32167891,354.82
59,120.07132794,30.32168250,354.82
60,120.07132757,30.32168609,354.82
61,120.07132719,30.32168969,354.82
62,120.07132681,30.32169328,354.82
63,120.07132644,30.32169687,354.82
64,120.07132606,30.32170046,354.82
65,120.07132568,30.32170405,354.82
66,120.07132530,30.32170764,354.82
67,120.07132493,30.32171123,354.82
68,120.07132455,30.32171482,354.82
69,120.07132417,30.32171842,354.82
70,120.07132380,30.32172201,354.82
71,120.07132313,30.32172838,354.82
