#序号,经度,纬度,航向角(度)
1,120.06789529,30.32125101,164.38
2,120.06791512,30.32118980,254.23
3,120.06789993,30.32118609,344.38
4,120.06788010,30.32124730,254.23
5,120.06786491,30.32124360,164.38
6,120.06788474,30.32118239,254.23
7,120.06786955,30.32117868,344.38
8,120.06784971,30.32123989,254.23
9,120.06783452,30.32123619,164.38
10,120.06785435,30.32117498,254.23
11,120.06783916,30.32117128,344.38
12,120.06781933,30.32123248,254.23
13,120.06780414,30.32122878,164.38
14,120.06782397,30.32116757,254.23
15,120.06780878,30.32116387,344.38
16,120.06778895,30.32122508,254.23
17,120.06777376,30.32122137,164.38
18,120.06779359,30.32116016,254.23
19,120.06777839,30.32115646,344.38
20,120.06775856,30.32121767,77.56
21,120.06775857,30.32121767,254.13
22,120.06772011,30.32120823,340.44
23,120.06770772,30.32123834,163.85
24,120.06773795,30.32114824,253.70
25,120.06771729,30.32114302,343.85
26,120.06768706,30.32123312,253.70
27,120.06766640,30.32122791,163.85
28,120.06769663,30.32113781,253.70
29,120.06767597,30.32113259,343.85
30,120.06764575,30.32122269,253.70
31,120.06762509,30.32121748,163.85
32,120.06765531,30.32112738,253.70
33,120.06763465,30.32112216,343.85
34,120.06760443,30.32121226,253.70
35,120.06758377,30.32120704,163.85
36,120.06761399,30.32111694,251.88
37,120.06757631,30.32110630,344.12
38,120.06755624,30.32116718,253.97
39,120.06752763,30.32116008,164.12
40,120.06754769,30.32109920,253.97
41,120.06751908,30.32109210,344.12
42,120.06749901,30.32115299,253.97
43,120.06747040,30.32114589,164.12
44,120.06749047,30.32108500,253.97
45,120.06746185,30.32107791,344.12
46,120.06744179,30.32113879,73.96
47,120.06744037,30.32113844,73.93
48,120.06793115,30.32126044,73.93
