#序号,经度,纬度,航向角(度)
#north_10_long_block
1,110.64709198,35.60483129,269.63
2,110.64694281,35.60483051,359.63
3,110.64694273,35.60484133,89.63
4,110.64709190,35.60484211,359.63
5,110.64709181,35.60485293,269.63
6,110.64694264,35.60485215,359.63
7,110.64694256,35.60486296,89.63
8,110.64709173,35.60486375,359.63
9,110.64709164,35.60487457,269.63
10,110.64694247,35.60487378,359.63
11,110.64694238,35.60488460,89.63
12,110.64709156,35.60488539,359.63
13,110.64709147,35.60489621,269.63
14,110.64694230,35.60489542,359.63
15,110.64694221,35.60490624,89.63
16,110.64709138,35.60490703,359.63
17,110.64709130,35.60491785,269.63
18,110.64694213,35.60491706,359.63
19,110.64694204,35.60492788,89.63
20,110.64709121,35.60492866,359.63
21,110.64709113,35.60493948,269.63
22,110.64694196,35.60493870,359.63
23,110.64694187,35.60494952,89.63
24,110.64709104,35.60495030,359.63
25,110.64709096,35.60496112,269.63
26,110.64694179,35.60496034,359.63
27,110.64694170,35.60497116,89.63
28,110.64709087,35.60497194,359.63
29,110.64709082,35.60497923,269.63
30,110.64694165,35.60497845,269.18
#north_10
31,110.64693166,35.60497834,269.67
32,110.64659818,35.60497678,179.67
33,110.64659824,35.60496850,89.67
34,110.64693172,35.60497006,179.67
35,110.64693179,35.60495924,269.67
36,110.64659832,35.60495768,179.67
37,110.64659839,35.60494686,89.67
38,110.64693187,35.60494842,179.67
39,110.64693194,35.60493760,269.67
40,110.64659847,35.60493604,179.67
41,110.64659854,35.60492522,89.67
42,110.64693202,35.60492678,179.67
43,110.64693210,35.60491596,269.67
44,110.64659862,35.60491440,179.67
45,110.64659870,35.60490358,89.67
46,110.64693217,35.60490514,179.67
47,110.64693225,35.60489432,269.67
48,110.64659877,35.60489276,179.67
49,110.64659885,35.60488194,89.67
50,110.64693232,35.60488350,179.67
51,110.64693240,35.60487268,269.67
52,110.64659892,35.60487112,179.67
53,110.64659900,35.60486030,89.67
54,110.64693247,35.60486186,179.67
55,110.64693255,35.60485104,269.67
56,110.64659908,35.60484948,224.55
#bridge_10-11
57,110.64659798,35.60484858,179.98
58,110.64659802,35.60474805,89.80
#north_11_long_block
59,110.64708888,35.60474946,179.67
60,110.64709059,35.60450815,269.67
61,110.64707735,35.60450809,359.67
62,110.64707563,35.60474940,269.67
63,110.64706238,35.60474933,179.67
64,110.64706410,35.60450803,269.67
65,110.64705085,35.60450796,359.67
66,110.64704914,35.60474927,269.67
67,110.64703589,35.60474921,179.67
68,110.64703760,35.60450790,269.67
69,110.64702435,35.60450784,359.67
70,110.64702264,35.60474915,269.67
