#序号,经度,纬度,航向角(度)
#bridge_5B-6B
1,110.64741549,35.60589857,179.80
2,110.64741642,35.60568374,179.88
#bridge_6A-7bA
3,110.64741690,35.60550265,180.14
4,110.64741624,35.60528620,0.00
#bridge_7bA-7A
5,110.64741624,35.60528620,89.85
6,110.64776001,35.60528695,179.63
#bridge_8B-9A
7,110.64776029,35.60525247,179.87
8,110.64776099,35.60500043,179.73
#bridge_10A-11B
9,110.64776183,35.60485292,179.63
10,110.64776265,35.60475014,179.90
#bridge_11A-12B
11,110.64776313,35.60452750,179.55
12,110.64776416,35.60442191,179.83
#bridge_12A-13B
13,110.64776464,35.60429273,179.99
14,110.64776464,35.60426222,179.88
#bridge_13A-14B
15,110.64776491,35.60415390,179.72
16,110.64776557,35.60404402,179.57
#bridge_14A-15B
17,110.64776724,35.60386301,180.61
18,110.64776678,35.60382802,179.88
#bridge_15A-16B
19,110.64776706,35.60371975,179.77
20,110.64776761,35.60360864,179.83
#bridge_16A-17B
21,110.64776811,35.60346909,180.25
22,110.64776797,35.60344504,179.67
#bridge_17A-18B
23,110.64776897,35.60330588,178.46
24,110.64777027,35.60326632,180.82
#bridge_18A-19B
25,110.64776917,35.60320370,179.77
26,110.64776966,35.60310123,179.86
#bridge_19A-20B
27,110.64777038,35.60286840,179.24
28,110.64777090,35.60283616,179.79
#bridge_20A-21B
29,110.64777166,35.60266566,179.70
30,110.64777235,35.60255990,179.93
#bridge_21A-22B
31,110.64777254,35.60244104,179.19
32,110.64777310,35.60240849,179.93
#bridge_22A-23B
33,110.64777329,35.60228932,179.69
34,110.64777398,35.60218478,179.59
#bridge_23A-24B
35,110.64777458,35.60211783,180.27
36,110.64777436,35.60207956,179.52
#bridge_24A-north24B
37,110.64777591,35.60192968,270.00
38,110.64660984,35.60192962,359.87
#bridge_north24A-north22A
39,110.64660943,35.60207901,359.76
40,110.64660776,35.60240069,359.72
#bridge_north21A-north20B
41,110.64660680,35.60256286,359.57
42,110.64660584,35.60266806,359.99
#bridge_north20A-north19B
43,110.64660580,35.60283869,359.73
44,110.64660561,35.60287015,359.78
#bridge_north19A-north17B
45,110.64660449,35.60310295,359.87
46,110.64660395,35.60330088,44.80
#north_17
47,110.64660505,35.60330178,89.93
48,110.64709825,35.60330228,359.93
49,110.64709823,35.60331310,269.93
50,110.64660504,35.60331260,359.93
51,110.64660502,35.60332342,89.93
52,110.64709822,35.60332392,359.93
53,110.64709820,35.60333474,269.93
54,110.64660500,35.60333424,359.93
55,110.64660499,35.60334506,89.93
56,110.64709819,35.60334556,359.93
57,110.64709817,35.60335637,269.93
58,110.64660497,35.60335588,359.93
59,110.64660495,35.60336670,89.93
