序号,经度,纬度,航向角(度)
#bridge_5B-6B
1,110.64741439,35.60589766,179.80
2,110.64741485,35.60579115,179.80
3,110.64741531,35.60568464,179.88
#bridge_5B-6B_mid
4,110.64741555,35.60559320,179.88
#bridge_6A-7bA
5,110.64741580,35.60550175,180.14
6,110.64741547,35.60539443,180.14
7,110.64741514,35.60528711,44.72
#bridge_7bA-7A
8,110.64741733,35.60528891,89.85
9,110.64753119,35.60528916,89.85
10,110.64764505,35.60528941,89.85
11,110.64775890,35.60528965,179.65
#bridge_8B-9A
12,110.64775919,35.60525156,179.87
13,110.64775953,35.60512645,179.87
14,110.64775988,35.60500133,179.04
#bridge_8B-9A_mid
15,110.64776141,35.60492668,179.04
#bridge_10A-11B
16,110.64776294,35.60485202,179.63
17,110.64776375,35.60475105,180.36
#bridge_10A-11B_mid
18,110.64776289,35.60463882,180.36
#bridge_11A-12B
19,110.64776204,35.60452659,179.55
20,110.64776305,35.60442280,179.83
#bridge_12A-13B
21,110.64776353,35.60429183,179.99
22,110.64776354,35.60426312,179.88
#bridge_13A-14B
23,110.64776382,35.60415299,179.72
24,110.64776446,35.60404492,179.58
#bridge_13A-14B_mid
25,110.64776529,35.60395352,179.58
#bridge_14A-15B
26,110.64776612,35.60386212,180.61
27,110.64776569,35.60382893,179.89
#bridge_15A-16B
28,110.64776596,35.60371885,179.77
29,110.64776650,35.60360954,179.84
#bridge_15A-16B_mid
30,110.64776675,35.60353887,179.84
#bridge_16A-17B
31,110.64776700,35.60346820,180.25
32,110.64776688,35.60344595,179.66
#bridge_16A-17B_mid
33,110.64776739,35.60337545,179.66
#bridge_17A-18B
34,110.64776790,35.60330496,178.46
35,110.64776914,35.60326720,180.78
#bridge_18A-19B
36,110.64776807,35.60320279,179.77
37,110.64776856,35.60310213,179.85
#bridge_18A-19B_mid
38,110.64776892,35.60298481,179.85
#bridge_19A-20B
39,110.64776929,35.60286748,179.24
40,110.64776978,35.60283705,179.79
#bridge_19A-20B_mid
41,110.64777017,35.60275090,179.79
#bridge_20A-21B
42,110.64777056,35.60266475,179.70
43,110.64777124,35.60256079,179.92
#bridge_21A-22B
44,110.64777145,35.60244013,179.19
45,110.64777198,35.60240938,179.92
#bridge_22A-23B
