#序号,经度,纬度,航向角(度)
#north_18_long_block
1,110.64709444,35.60326682,179.84
2,110.64709469,35.60319181,269.84
3,110.64708144,35.60319178,359.84
4,110.64708119,35.60326679,269.84
5,110.64706794,35.60326676,179.84
6,110.64706819,35.60319175,269.84
7,110.64705495,35.60319172,359.84
8,110.64705470,35.60326673,269.84
9,110.64704145,35.60326670,179.84
10,110.64704170,35.60319170,269.84
11,110.64702845,35.60319167,359.84
12,110.64702820,35.60326667,269.84
13,110.64701495,35.60326664,179.84
14,110.64701520,35.60319164,269.84
15,110.64700195,35.60319161,359.84
16,110.64700170,35.60326661,269.84
17,110.64698846,35.60326658,179.84
18,110.64698871,35.60319158,269.84
19,110.64697546,35.60319155,359.84
20,110.64697521,35.60326655,269.84
21,110.64696196,35.60326652,179.84
22,110.64696221,35.60319152,269.84
23,110.64694896,35.60319149,359.84
24,110.64694871,35.60326649,260.74
#north_18
25,110.64693890,35.60326519,270.16
26,110.64660506,35.60326594,180.16
27,110.64660503,35.60325512,90.16
28,110.64693886,35.60325437,180.16
29,110.64693883,35.60324355,270.16
30,110.64660499,35.60324430,180.16
31,110.64660495,35.60323348,90.16
32,110.64693879,35.60323273,180.16
33,110.64693875,35.60322191,270.16
34,110.64660492,35.60322266,180.16
35,110.64660488,35.60321184,90.16
36,110.64693872,35.60321109,270.16
37,110.64660488,35.60321184,179.70
#north_19
38,110.64660562,35.60309827,89.77
39,110.64709792,35.60309985,179.78
40,110.64709797,35.60308903,269.77
41,110.64660567,35.60308745,179.78
42,110.64660572,35.60307663,89.77
43,110.64709802,35.60307821,179.78
44,110.64709807,35.60306739,269.77
45,110.64660577,35.60306581,179.78
46,110.64660583,35.60305499,89.77
47,110.64709813,35.60305658,179.78
48,110.64709818,35.60304576,269.77
49,110.64660588,35.60304417,179.78
50,110.64660593,35.60303335,89.77
51,110.64709823,35.60303494,179.78
52,110.64709828,35.60302412,269.77
53,110.64660598,35.60302253,179.78
54,110.64660603,35.60301171,89.77
55,110.64709833,35.60301330,179.78
56,110.64709839,35.60300248,269.77
57,110.64660609,35.60300089,179.78
58,110.64660614,35.60299007,89.77
59,110.64709844,35.60299166,179.78
60,110.64709849,35.60298084,269.77
61,110.64660619,35.60297926,179.78
62,110.64660624,35.60296844,89.77
63,110.64709854,35.60297002,179.78
64,110.64709859,35.60295920,269.77
65,110.64660630,35.60295762,179.78
66,110.64660635,35.60294680,89.77
67,110.64709865,35.60294838,179.78
68,110.64709870,35.60293756,269.77
69,110.64660640,35.60293598,179.78
70,110.64660645,35.60292516,89.77
71,110.64709875,35.60292674,179.78
72,110.64709880,35.60291592,269.77
73,110.64660650,35.60291434,179.78
74,110.64660656,35.60290352,89.77
75,110.64709886,35.60290510,179.78
76,110.64709891,35.60289428,269.77
77,110.64660661,35.60289270,179.78
78,110.64660666,35.60288188,89.77
79,110.64709896,35.60288346,179.78
80,110.64709901,35.60287264,269.77
81,110.64660671,35.60287106,359.55
#bridge_19-20b
82,110.64660449,35.60310295,179.77
83,110.64660580,35.60283869,90.10
#north_20_long_block
84,110.64709601,35.60283799,179.97
85,110.64709611,35.60264875,269.97
86,110.64708287,35.60264875,359.97
87,110.64708276,35.60283798,269.97
88,110.64706951,35.60283798,179.97
89,110.64706962,35.60264874,269.97
90,110.64705637,35.60264874,359.97
91,110.64705626,35.60283797,269.97
92,110.64704302,35.60283797,179.97
93,110.64704312,35.60264873,269.97
94,110.64702987,35.60264873,359.97
95,110.64702977,35.60283796,269.97
96,110.64701652,35.60283796,179.97
97,110.64701663,35.60264872,269.97
98,110.64700338,35.60264872,359.97
99,110.64700327,35.60283795,269.97
100,110.64699002,35.60283795,179.97
101,110.64699013,35.60264871,269.97
102,110.64697688,35.60264871,359.97
103,110.64697677,35.60283794,269.97
104,110.64696353,35.60283794,179.97
105,110.64696363,35.60264870,269.97
106,110.64695038,35.60264870,359.97
107,110.64695028,35.60283793,269.35
#north_20
108,110.64694044,35.60283784,269.99
109,110.64660690,35.60283779,179.99
110,110.64660690,35.60283125,89.99
111,110.64694045,35.60283131,179.99
112,110.64694045,35.60282049,269.99
113,110.64660691,35.60282043,179.99
114,110.64660691,35.60280961,89.99
115,110.64694045,35.60280967,179.99
116,110.64694045,35.60279885,269.99
117,110.64660691,35.60279879,179.99
118,110.64660691,35.60278797,89.99
119,110.64694046,35.60278803,179.99
120,110.64694046,35.60277721,269.99
121,110.64660692,35.60277715,179.99
122,110.64660692,35.60276633,89.99
123,110.64694046,35.60276639,179.99
124,110.64694046,35.60275557,269.99
125,110.64660692,35.60275551,179.99
126,110.64660692,35.60274469,89.99
127,110.64694047,35.60274475,179.99
128,110.64694047,35.60273393,269.99
129,110.64660693,35.60273388,179.99
130,110.64660693,35.60272306,89.99
131,110.64694047,35.60272311,179.99
132,110.64694048,35.60271229,269.99
133,110.64660693,35.60271224,179.99
134,110.64660694,35.60270142,89.99
135,110.64694048,35.60270147,179.99
136,110.64694048,35.60269065,269.99
137,110.64660694,35.60269060,179.99
138,110.64660694,35.60267978,89.99
139,110.64694048,35.60267983,179.99
140,110.64694049,35.60266901,269.99
141,110.64660694,35.60266896,179.58
#north_21
142,110.64660791,35.60256196,89.71
143,110.64710028,35.60256396,179.72
144,110.64710033,35.60255613,269.71
145,110.64660796,35.60255413,179.72
146,110.64660802,35.60254331,89.71
147,110.64710039,35.60254531,179.72
148,110.64710046,35.60253449,269.71
149,110.64660809,35.60253249,179.72
150,110.64660816,35.60252167,89.71
151,110.64710053,35.60252367,179.72
152,110.64710059,35.60251285,269.71
153,110.64660822,35.60251085,179.72
154,110.64660829,35.60250003,89.71
155,110.64710066,35.60250203,179.72
156,110.64710072,35.60249121,269.71
157,110.64660835,35.60248921,179.72
158,110.64660842,35.60247839,89.71
159,110.64710079,35.60248039,179.72
160,110.64710086,35.60246957,269.71
161,110.64660849,35.60246757,179.72
162,110.64660855,35.60245675,89.71
163,110.64710092,35.60245875,179.72
164,110.64710099,35.60244793,269.71
165,110.64660862,35.60244593,179.72
166,110.64660868,35.60243511,89.71
167,110.64710105,35.60243712,269.71
168,110.64660868,35.60243511,359.31
#bridge_21-22b
169,110.64660680,35.60256286,179.72
170,110.64660776,35.60240069,89.82
#north_22_long_block
171,110.64709817,35.60240197,179.73
172,110.64709891,35.60227462,269.73
173,110.64708567,35.60227457,359.73
174,110.64708492,35.60240192,269.73
175,110.64707167,35.60240187,179.73
176,110.64707242,35.60227452,269.73
177,110.64705917,35.60227446,359.73
178,110.64705842,35.60240182,269.73
179,110.64704518,35.60240177,179.73
180,110.64704592,35.60227441,269.73
181,110.64703267,35.60227436,359.73
182,110.64703193,35.60240171,269.73
183,110.64701868,35.60240166,179.73
184,110.64701943,35.60227431,269.73
185,110.64700618,35.60227426,359.73
186,110.64700543,35.60240161,269.73
187,110.64699219,35.60240156,179.73
188,110.64699293,35.60227421,269.73
189,110.64697968,35.60227415,359.73
190,110.64697894,35.60240151,269.73
191,110.64696569,35.60240146,179.73
192,110.64696643,35.60227410,269.73
193,110.64695319,35.60227405,359.73
194,110.64695244,35.60240140,263.59
#north_22
195,110.64694283,35.60240053,269.85
196,110.64660887,35.60239979,179.85
197,110.64660890,35.60239079,89.85
198,110.64694286,35.60239152,179.85
199,110.64694289,35.60238070,269.85
200,110.64660893,35.60237997,179.85
201,110.64660897,35.60236915,89.85
202,110.64694293,35.60236988,179.85
203,110.64694296,35.60235906,269.85
204,110.64660900,35.60235833,179.85
205,110.64660904,35.60234751,89.85
206,110.64694300,35.60234824,179.85
207,110.64694304,35.60233742,269.85
208,110.64660907,35.60233669,179.85
209,110.64660911,35.60232587,89.85
210,110.64694307,35.60232660,179.85
211,110.64694311,35.60231578,269.85
212,110.64660915,35.60231505,179.85
213,110.64660918,35.60230423,89.85
214,110.64694314,35.60230496,179.85
215,110.64694318,35.60229414,269.85
216,110.64660922,35.60229341,224.72
#bridge_22-23s
217,110.64660812,35.60229251,179.81
218,110.64660885,35.60211327,89.59
#north_23_small_block
219,110.64711267,35.60211622,91.03
220,110.64718181,35.60211521,1.02
221,110.64718205,35.60212603,271.03
222,110.64711290,35.60212703,224.10
#north_23_mid_long_block
223,110.64709961,35.60211588,359.80
224,110.64709892,35.60227267,269.79
225,110.64708568,35.60227264,179.80
