#序号,经度,纬度,航向角(度)
#bridge_5B-6B
1,110.64741549,35.60589857,179.80
2,110.64741642,35.60568374,179.88
#bridge_6A-7bA
3,110.64741690,35.60550265,180.14
4,110.64741624,35.60528620,0.00
#bridge_7bA-7A
5,110.64741624,35.60528620,89.85
6,110.64776001,35.60528695,179.63
#bridge_8B-9A
7,110.64776029,35.60525247,179.87
8,110.64776099,35.60500043,179.73
#bridge_10A-11B
9,110.64776183,35.60485292,179.63
10,110.64776265,35.60475014,179.90
#bridge_11A-12B
11,110.64776313,35.60452750,179.55
12,110.64776416,35.60442191,179.83
#bridge_12A-13B
13,110.64776464,35.60429273,179.99
14,110.64776464,35.60426222,179.88
#bridge_13A-14B
15,110.64776491,35.60415390,179.72
16,110.64776557,35.60404402,179.57
#bridge_14A-15B
17,110.64776724,35.60386301,180.61
18,110.64776678,35.60382802,179.88
#bridge_15A-16B
19,110.64776706,35.60371975,179.77
20,110.64776761,35.60360864,179.83
#bridge_16A-17B
21,110.64776811,35.60346909,180.25
22,110.64776797,35.60344504,179.67
#bridge_17A-18B
23,110.64776897,35.60330588,178.46
24,110.64777027,35.60326632,270.31
#south_18_long_block
25,110.64727857,35.60326850,179.86
26,110.64727879,35.60319315,89.86
27,110.64729204,35.60319318,359.86
28,110.64729182,35.60326852,89.86
29,110.64730507,35.60326855,179.86
30,110.64730529,35.60319321,89.86
31,110.64731854,35.60319323,359.86
32,110.64731831,35.60326858,89.86
33,110.64733156,35.60326860,179.86
34,110.64733179,35.60319326,89.86
35,110.64734504,35.60319329,359.86
36,110.64734481,35.60326863,89.86
37,110.64735806,35.60326866,179.86
38,110.64735828,35.60319331,89.86
39,110.64737153,35.60319334,359.86
40,110.64737131,35.60326868,89.86
41,110.64738456,35.60326871,179.86
42,110.64738478,35.60319337,89.86
43,110.64739803,35.60319339,359.86
44,110.64739780,35.60326874,89.86
45,110.64741105,35.60326876,179.86
46,110.64741128,35.60319342,89.86
47,110.64742452,35.60319344,359.86
48,110.64742430,35.60326879,90.69
#south_18
49,110.64776915,35.60326543,270.83
50,110.64743435,35.60326937,180.82
51,110.64743416,35.60325855,90.83
52,110.64776896,35.60325461,180.82
53,110.64776877,35.60324379,270.83
54,110.64743397,35.60324774,180.82
55,110.64743378,35.60323692,90.83
56,110.64776858,35.60323297,180.82
57,110.64776839,35.60322216,270.83
58,110.64743359,35.60322610,180.82
59,110.64743340,35.60321528,90.83
60,110.64776820,35.60321134,180.82
61,110.64776808,35.60320461,270.83
62,110.64743328,35.60320856,90.83
63,110.64776808,35.60320461,135.95
#bridge_18-19b
64,110.64776917,35.60320370,179.83
65,110.64777038,35.60286840,270.09
