#序号,经度,纬度,航向角(度)
#south_3
1,110.64741353,35.60615339,269.75
2,110.64726440,35.60615286,359.75
3,110.64726437,35.60615852,89.75
4,110.64741350,35.60615905,359.75
5,110.64741344,35.60616987,269.75
6,110.64726431,35.60616934,359.75
7,110.64726425,35.60618016,89.75
8,110.64741338,35.60618069,359.75
9,110.64741332,35.60619151,269.75
10,110.64726420,35.60619098,359.75
11,110.64726414,35.60620180,89.75
12,110.64741326,35.60620233,359.75
13,110.64741321,35.60621315,269.75
14,110.64726408,35.60621262,359.75
15,110.64726402,35.60622344,89.75
16,110.64741315,35.60622397,359.75
17,110.64741309,35.60623479,269.75
18,110.64726396,35.60623425,359.75
19,110.64726390,35.60624507,89.75
20,110.64741303,35.60624561,359.75
21,110.64741297,35.60625643,269.75
22,110.64726385,35.60625589,359.75
23,110.64726379,35.60626671,89.75
24,110.64741292,35.60626725,359.75
25,110.64741286,35.60627807,269.75
26,110.64726373,35.60627753,359.75
27,110.64726367,35.60628835,89.75
28,110.64741280,35.60628889,359.75
29,110.64741274,35.60629971,269.75
30,110.64726361,35.60629917,359.75
31,110.64726355,35.60630999,89.75
32,110.64741268,35.60631053,359.75
33,110.64741262,35.60632135,269.75
34,110.64726350,35.60632081,359.75
35,110.64726344,35.60633163,89.75
36,110.64741257,35.60633217,359.77
#south_2
37,110.64741239,35.60636882,269.85
38,110.64726311,35.60636850,359.85
39,110.64726309,35.60637423,89.85
40,110.64741237,35.60637454,359.85
41,110.64741233,35.60638536,269.85
42,110.64726305,35.60638505,359.85
43,110.64726302,35.60639587,89.85
44,110.64741230,35.60639618,359.85
45,110.64741227,35.60640700,269.85
46,110.64726299,35.60640669,359.85
47,110.64726295,35.60641751,89.85
48,110.64741223,35.60641782,359.85
49,110.64741220,35.60642864,269.85
50,110.64726292,35.60642833,359.85
51,110.64726288,35.60643915,89.85
52,110.64741216,35.60643946,359.85
53,110.64741213,35.60645028,269.85
54,110.64726285,35.60644997,359.85
55,110.64726282,35.60646079,89.85
56,110.64741210,35.60646110,359.85
57,110.64741206,35.60647192,269.85
58,110.64726278,35.60647161,359.85
59,110.64726275,35.60648243,89.85
60,110.64741203,35.60648274,359.85
61,110.64741199,35.60649356,269.85
62,110.64726271,35.60649325,359.85
63,110.64726268,35.60650406,89.85
64,110.64741196,35.60650438,359.85
65,110.64741193,35.60651520,269.85
66,110.64726265,35.60651488,359.85
