#序号,经度,纬度,航向角(度)
1,120.06927067,30.31997033,194.89
2,120.06911490,30.31946465,285.03
3,120.06910430,30.31946711,14.89
4,120.06926007,30.31997279,285.03
5,120.06924946,30.31997525,194.89
6,120.06909370,30.31946957,285.03
7,120.06908309,30.31947202,14.89
8,120.06923886,30.31997771,285.03
9,120.06922826,30.31998017,194.89
10,120.06907249,30.31947448,285.03
11,120.06906189,30.31947694,14.89
12,120.06921766,30.31998262,285.03
13,120.06920706,30.31998508,194.89
14,120.06905129,30.31947940,285.03
15,120.06904069,30.31948186,14.89
16,120.06919646,30.31998754,285.03
17,120.06918586,30.31999000,194.89
18,120.06903009,30.31948431,285.03
19,120.06901949,30.31948677,14.89
20,120.06917525,30.31999245,285.03
21,120.06916465,30.31999491,194.89
22,120.06900888,30.31948923,285.03
23,120.06899828,30.31949169,14.89
24,120.06915405,30.31999737,285.03
25,120.06914345,30.31999983,194.89
26,120.06898768,30.31949415,285.03
27,120.06897708,30.31949660,14.89
28,120.06913285,30.32000229,285.03
29,120.06912225,30.32000474,194.89
30,120.06896648,30.31949906,285.03
31,120.06895588,30.31950152,14.89
32,120.06911165,30.32000720,14.89
