#序号,经度,纬度,航向角(度)
1,120.06901884,30.32024392,162.65
2,120.06910595,30.32000323,252.49
3,120.06908032,30.31999625,342.65
4,120.06899321,30.32023694,252.49
5,120.06896758,30.32022996,162.65
6,120.06905470,30.31998927,252.49
7,120.06902907,30.31998228,342.65
8,120.06894196,30.32022298,252.49
9,120.06891633,30.32021600,162.65
10,120.06900344,30.31997530,252.49
11,120.06897782,30.31996832,342.65
12,120.06889070,30.32020902,252.49
13,120.06886508,30.32020204,162.65
14,120.06895219,30.31996134,252.49
15,120.06892656,30.31995436,342.65
16,120.06883945,30.32019506,252.49
17,120.06881382,30.32018808,162.65
18,120.06890094,30.31994738,252.49
19,120.06887531,30.31994040,342.65
20,120.06878819,30.32018110,252.49
21,120.06876257,30.32017412,162.65
22,120.06884968,30.31993342,24.89
23,120.06886986,30.31997096,168.86
24,120.06890981,30.31979585,78.75
25,120.06893516,30.31980020,348.86
26,120.06889521,30.31997532,78.75
27,120.06892055,30.31997967,168.86
28,120.06896050,30.31980456,78.75
29,120.06898585,30.31980891,348.86
30,120.06894590,30.31998402,78.75
31,120.06897125,30.31998837,168.86
32,120.06901120,30.31981326,78.75
33,120.06903654,30.31981761,348.86
34,120.06899659,30.31999272,78.75
35,120.06902194,30.31999708,168.86
36,120.06906189,30.31982197,78.75
37,120.06908724,30.31982632,348.86
38,120.06904729,30.32000143,78.75
39,120.06907263,30.32000578,168.86
40,120.06911258,30.31983067,78.75
41,120.06913793,30.31983502,348.86
42,120.06909798,30.32001013,78.75
43,120.06912333,30.32001449,168.86
44,120.06916328,30.31983938,78.75
45,120.06918862,30.31984373,348.86
46,120.06914867,30.32001884,78.75
47,120.06917402,30.32002319,168.86
48,120.06921397,30.31984808,78.75
49,120.06923932,30.31985243,348.86
50,120.06919937,30.32002754,78.75
51,120.06922471,30.32003190,168.86
52,120.06926466,30.31985679,78.75
53,120.06929001,30.31986114,348.86
54,120.06925006,30.32003625,78.75
55,120.06927541,30.32004060,168.86
56,120.06931536,30.31986549,78.75
57,120.06934070,30.31986984,348.86
58,120.06930075,30.32004495,78.75
59,120.06932610,30.32004931,168.86
60,120.06936605,30.31987419,78.75
61,120.06939140,30.31987855,348.86
62,120.06935145,30.32005366,345.52
63,120.06934899,30.32006186,342.18
64,120.06922150,30.32040431,252.02
65,120.06920076,30.32039850,162.18
66,120.06932825,30.32005605,252.02
67,120.06930751,30.32005024,342.18
68,120.06918002,30.32039269,252.02
69,120.06915928,30.32038687,162.18
70,120.06928677,30.32004442,252.02
71,120.06926603,30.32003861,342.18
72,120.06913854,30.32038106,252.02
73,120.06911779,30.32037525,162.18
74,120.06924529,30.32003280,252.02
75,120.06922455,30.32002699,342.18
76,120.06909705,30.32036944,342.18
