#序号,经度,纬度,航向角(度)
#bridge_4B-3A
1,110.64741483,35.60611439,359.77
2,110.64741464,35.60615249,359.75
#bridge_3B-2A
3,110.64741367,35.60633307,359.77
4,110.64741349,35.60636792,359.85
#bridge_2B-1A
5,110.64741292,35.60654856,359.82
6,110.64741278,35.60658503,0.00
#bridge_1A-1C
7,110.64741278,35.60658503,325.66
8,110.64726117,35.60676543,120.92
#south_1
9,110.64726228,35.60676489,90.07
10,110.64741193,35.60676475,180.07
11,110.64741192,35.60675393,270.07
12,110.64726226,35.60675407,180.07
13,110.64726225,35.60674325,90.07
14,110.64741190,35.60674311,180.07
15,110.64741189,35.60673229,270.07
16,110.64726223,35.60673243,180.07
17,110.64726222,35.60672161,90.07
18,110.64741187,35.60672147,180.07
19,110.64741186,35.60671065,270.07
20,110.64726220,35.60671080,180.07
21,110.64726218,35.60669998,90.07
22,110.64741184,35.60669983,180.07
23,110.64741183,35.60668901,270.07
24,110.64726217,35.60668916,180.07
25,110.64726215,35.60667834,90.07
26,110.64741181,35.60667819,180.07
27,110.64741180,35.60666738,270.07
28,110.64726214,35.60666752,180.07
29,110.64726212,35.60665670,90.07
30,110.64741178,35.60665656,180.07
31,110.64741177,35.60664574,270.07
32,110.64726211,35.60664588,180.07
33,110.64726209,35.60663506,90.07
34,110.64741175,35.60663492,180.07
35,110.64741173,35.60662410,270.07
36,110.64726208,35.60662424,180.07
37,110.64726206,35.60661342,90.07
38,110.64741172,35.60661328,180.07
39,110.64741170,35.60660246,270.07
40,110.64726205,35.60660260,180.07
41,110.64726203,35.60659178,90.07
42,110.64741169,35.60659164,180.07
43,110.64741168,35.60658593,270.07
44,110.64726202,35.60658608,90.07
45,110.64741168,35.60658593,179.83
#south_2
46,110.64741182,35.60654766,269.85
47,110.64726254,35.60654734,179.85
48,110.64726258,35.60653652,89.85
49,110.64741186,35.60653684,179.85
50,110.64741189,35.60652602,269.85
51,110.64726261,35.60652570,179.85
52,110.64726265,35.60651488,89.85
53,110.64741193,35.60651520,179.85
54,110.64741196,35.60650438,269.85
55,110.64726268,35.60650406,179.85
56,110.64726271,35.60649325,89.85
57,110.64741199,35.60649356,179.85
58,110.64741203,35.60648274,269.85
59,110.64726275,35.60648243,179.85
60,110.64726278,35.60647161,89.85
61,110.64741206,35.60647192,179.85
62,110.64741210,35.60646110,269.85
63,110.64726282,35.60646079,179.85
64,110.64726285,35.60644997,89.85
65,110.64741213,35.60645028,179.85
66,110.64741216,35.60643946,269.85
67,110.64726288,35.60643915,179.85
68,110.64726292,35.60642833,89.85
69,110.64741220,35.60642864,179.85
70,110.64741223,35.60641782,269.85
71,110.64726295,35.60641751,179.85
72,110.64726299,35.60640669,89.85
73,110.64741227,35.60640700,179.85
74,110.64741230,35.60639618,269.85
75,110.64726302,35.60639587,179.85
76,110.64726305,35.60638505,89.85
77,110.64741233,35.60638536,179.85
78,110.64741237,35.60637454,269.85
79,110.64726309,35.60637423,179.85
80,110.64726311,35.60636850,89.85
81,110.64741239,35.60636882,179.77
#south_3
82,110.64741257,35.60633217,269.75
83,110.64726344,35.60633163,179.75
84,110.64726350,35.60632081,89.75
85,110.64741262,35.60632135,179.75
86,110.64741268,35.60631053,269.75
87,110.64726355,35.60630999,179.75
88,110.64726361,35.60629917,89.75
89,110.64741274,35.60629971,179.75
90,110.64741280,35.60628889,269.75
91,110.64726367,35.60628835,179.75
92,110.64726373,35.60627753,89.75
93,110.64741286,35.60627807,179.75
94,110.64741292,35.60626725,269.75
95,110.64726379,35.60626671,179.75
96,110.64726385,35.60625589,89.75
97,110.64741297,35.60625643,179.75
98,110.64741303,35.60624561,269.75
99,110.64726390,35.60624507,179.75
100,110.64726396,35.60623425,89.75
101,110.64741309,35.60623479,179.75
102,110.64741315,35.60622397,269.75
103,110.64726402,35.60622344,179.75
104,110.64726408,35.60621262,89.75
105,110.64741321,35.60621315,179.75
106,110.64741326,35.60620233,269.75
107,110.64726414,35.60620180,179.75
108,110.64726420,35.60619098,89.75
109,110.64741332,35.60619151,179.75
110,110.64741338,35.60618069,269.75
111,110.64726425,35.60618016,179.75
112,110.64726431,35.60616934,89.75
113,110.64741344,35.60616987,179.75
114,110.64741350,35.60615905,269.75
115,110.64726437,35.60615852,179.75
116,110.64726440,35.60615286,89.75
117,110.64741353,35.60615339,179.77
#south_4
118,110.64741373,35.60611349,269.79
119,110.64726492,35.60611304,179.79
120,110.64726496,35.60610222,89.79
121,110.64741378,35.60610267,179.79
122,110.64741383,35.60609185,269.79
123,110.64726501,35.60609140,179.79
124,110.64726506,35.60608058,89.79
125,110.64741387,35.60608103,179.79
126,110.64741392,35.60607021,269.79
127,110.64726511,35.60606976,179.79
128,110.64726516,35.60605894,89.79
129,110.64741397,35.60605939,179.79
130,110.64741402,35.60604857,269.79
131,110.64726521,35.60604812,179.79
132,110.64726526,35.60603730,89.79
133,110.64741407,35.60603775,179.79
134,110.64741412,35.60602693,269.79
135,110.64726531,35.60602648,179.79
136,110.64726536,35.60601566,89.79
137,110.64741417,35.60601611,179.79
138,110.64741422,35.60600529,269.79
139,110.64726540,35.60600484,179.79
140,110.64726545,35.60599402,89.79
141,110.64741426,35.60599447,179.79
142,110.64741431,35.60598365,269.79
143,110.64726550,35.60598320,179.79
144,110.64726555,35.60597239,89.79
145,110.64741436,35.60597283,179.79
146,110.64741441,35.60596201,269.79
147,110.64726560,35.60596157,179.79
148,110.64726565,35.60595075,89.79
149,110.64741446,35.60595119,179.79
150,110.64741451,35.60594037,269.79
151,110.64726570,35.60593993,179.79
152,110.64726573,35.60593381,89.79
153,110.64741454,35.60593425,180.19
#south_5
154,110.64741439,35.60589766,269.76
155,110.64726511,35.60589716,179.77
156,110.64726516,35.60588634,89.76
157,110.64741444,35.60588684,179.77
158,110.64741450,35.60587602,269.76
159,110.64726522,35.60587552,179.77
160,110.64726527,35.60586470,89.76
161,110.64741455,35.60586520,179.77
162,110.64741461,35.60585438,269.76
163,110.64726533,35.60585388,179.77
164,110.64726538,35.60584307,89.76
165,110.64741466,35.60584356,179.77
166,110.64741472,35.60583274,269.76
167,110.64726543,35.60583225,179.77
168,110.64726549,35.60582143,89.76
169,110.64741477,35.60582192,179.77
170,110.64741482,35.60581111,269.76
171,110.64726554,35.60581061,179.77
172,110.64726560,35.60579979,89.76
173,110.64741488,35.60580029,179.77
174,110.64741493,35.60578947,269.76
175,110.64726565,35.60578897,179.77
176,110.64726570,35.60577815,89.76
177,110.64741499,35.60577865,179.77
178,110.64741504,35.60576783,269.76
179,110.64726576,35.60576733,179.77
180,110.64726581,35.60575651,89.76
181,110.64741510,35.60575701,179.77
182,110.64741515,35.60574619,269.76
183,110.64726587,35.60574569,179.77
184,110.64726592,35.60573487,89.76
185,110.64741520,35.60573537,179.77
186,110.64741526,35.60572455,269.76
187,110.64726598,35.60572405,179.77
188,110.64726601,35.60571794,89.76
189,110.64741529,35.60571844,179.96
#south_6
190,110.64741532,35.60568284,269.88
191,110.64726617,35.60568257,179.88
192,110.64726620,35.60567175,89.88
193,110.64741535,35.60567202,179.88
194,110.64741538,35.60566120,269.88
195,110.64726622,35.60566093,179.88
196,110.64726625,35.60565011,89.88
197,110.64741541,35.60565038,179.88
198,110.64741544,35.60563956,269.88
199,110.64726628,35.60563929,179.88
200,110.64726631,35.60562847,89.88
201,110.64741546,35.60562874,179.88
202,110.64741549,35.60561792,269.88
203,110.64726634,35.60561765,179.88
204,110.64726637,35.60560683,89.88
205,110.64741552,35.60560710,179.88
206,110.64741555,35.60559628,269.88
207,110.64726640,35.60559601,179.88
208,110.64726643,35.60558520,89.88
209,110.64741558,35.60558546,179.88
210,110.64741561,35.60557464,269.88
211,110.64726645,35.60557438,179.88
212,110.64726648,35.60556356,89.88
213,110.64741564,35.60556382,179.88
214,110.64741566,35.60555300,269.88
215,110.64726651,35.60555274,179.88
216,110.64726654,35.60554192,89.88
217,110.64741569,35.60554218,179.88
218,110.64741572,35.60553136,269.88
219,110.64726657,35.60553110,179.88
220,110.64726660,35.60552028,89.88
221,110.64741575,35.60552054,179.88
222,110.64741578,35.60550972,269.88
223,110.64726663,35.60550946,179.88
224,110.64726664,35.60550329,89.88
225,110.64741580,35.60550355,182.11
#south_7_long_block
226,110.64741411,35.60546635,269.73
227,110.64726509,35.60546578,179.74
228,110.64726515,35.60545496,89.73
