#序号,经度,纬度,航向角(度)
#bridge_5B-6B
1,110.64741549,35.60589857,179.80
2,110.64741642,35.60568374,179.88
#bridge_6A-7bA
3,110.64741690,35.60550265,180.14
4,110.64741624,35.60528620,0.00
#bridge_7bA-7A
5,110.64741624,35.60528620,89.85
6,110.64776001,35.60528695,179.63
#bridge_8B-9A
7,110.64776029,35.60525247,179.87
8,110.64776099,35.60500043,179.73
#bridge_10A-11B
9,110.64776183,35.60485292,179.63
10,110.64776265,35.60475014,179.90
#bridge_11A-12B
11,110.64776313,35.60452750,179.55
12,110.64776416,35.60442191,224.70
#south_12
13,110.64776306,35.60442101,269.83
14,110.64727117,35.60441980,179.83
15,110.64727121,35.60440898,89.83
16,110.64776310,35.60441019,179.83
17,110.64776314,35.60439937,269.83
18,110.64727125,35.60439816,179.83
19,110.64727129,35.60438734,89.83
20,110.64776318,35.60438855,179.83
21,110.64776322,35.60437773,269.83
22,110.64727133,35.60437652,179.83
23,110.64727137,35.60436570,89.83
24,110.64776326,35.60436691,179.83
25,110.64776330,35.60435609,269.83
26,110.64727141,35.60435488,179.83
27,110.64727145,35.60434406,89.83
28,110.64776334,35.60434527,179.83
29,110.64776338,35.60433445,269.83
30,110.64727149,35.60433324,179.83
31,110.64727153,35.60432242,89.83
32,110.64776342,35.60432363,179.83
33,110.64776346,35.60431281,269.83
34,110.64727157,35.60431160,179.83
35,110.64727161,35.60430078,89.83
36,110.64776350,35.60430199,179.83
37,110.64776353,35.60429363,269.83
38,110.64727164,35.60429243,89.83
39,110.64776353,35.60429363,134.95
#bridge_12-13b
40,110.64776464,35.60429273,179.99
41,110.64776464,35.60426222,269.79
#south_13_long_block
42,110.64727432,35.60426072,179.84
43,110.64727477,35.60413368,89.84
44,110.64728802,35.60413371,359.84
45,110.64728757,35.60426075,89.84
46,110.64730082,35.60426078,179.84
47,110.64730126,35.60413374,89.84
48,110.64731451,35.60413377,359.84
49,110.64731407,35.60426082,89.84
50,110.64732732,35.60426085,179.84
51,110.64732776,35.60413380,89.84
52,110.64734101,35.60413384,359.84
53,110.64734056,35.60426088,89.84
54,110.64735381,35.60426091,179.84
55,110.64735426,35.60413387,89.84
56,110.64736751,35.60413390,359.84
57,110.64736706,35.60426094,89.84
58,110.64738031,35.60426097,179.84
59,110.64738075,35.60413393,89.84
60,110.64739400,35.60413396,359.84
61,110.64739356,35.60426100,89.84
62,110.64740681,35.60426103,179.84
63,110.64740725,35.60413399,89.84
64,110.64742050,35.60413402,359.84
65,110.64742005,35.60426106,92.10
#south_13
66,110.64743026,35.60426076,89.88
67,110.64776354,35.60426131,179.88
68,110.64776357,35.60425049,269.88
