#序号,经度,纬度,航向角(度)
1,120.07105379,30.32161465,71.47
2,120.07112282,30.32163462,161.64
3,120.07113317,30.32160770,251.47
4,120.07106414,30.32158773,161.64
5,120.07107449,30.32156080,71.47
6,120.07114352,30.32158077,161.64
7,120.07115387,30.32155385,251.47
8,120.07108484,30.32153388,161.64
9,120.07109519,30.32150696,71.47
10,120.07116421,30.32152693,161.64
11,120.07117456,30.32150001,251.47
12,120.07110554,30.32148004,161.64
13,120.07111589,30.32145311,71.47
14,120.07118491,30.32147308,161.64
15,120.07119526,30.32144616,251.47
16,120.07112624,30.32142619,161.64
17,120.07113658,30.32139927,71.47
18,120.07120561,30.32141924,71.47
