#序号,经度,纬度,航向角(度)
1,120.06901884,30.32024392,252.49
2,120.06876257,30.32017412,162.65
3,120.06876983,30.32015406,72.49
4,120.06902610,30.32022387,162.65
5,120.06903335,30.32020381,252.49
6,120.06877709,30.32013400,162.65
7,120.06878435,30.32011394,72.49
8,120.06904061,30.32018375,162.65
9,120.06904787,30.32016369,252.49
10,120.06879161,30.32009388,162.65
11,120.06879887,30.32007383,72.49
12,120.06905513,30.32014363,162.65
13,120.06906239,30.32012358,252.49
14,120.06880613,30.32005377,162.65
15,120.06881338,30.32003371,72.49
16,120.06906965,30.32010352,162.65
17,120.06907691,30.32008346,252.49
18,120.06882064,30.32001365,162.65
19,120.06882790,30.31999359,72.49
20,120.06908417,30.32006340,162.65
21,120.06909143,30.32004334,252.49
22,120.06883516,30.31997354,162.65
23,120.06884242,30.31995348,72.49
24,120.06909869,30.32002329,162.65
25,120.06910595,30.32000323,252.49
26,120.06884968,30.31993342,24.89
27,120.06886986,30.31997096,78.75
28,120.06935145,30.32005366,168.86
29,120.06935644,30.32003177,258.75
30,120.06887485,30.31994907,168.86
31,120.06887985,30.31992718,78.75
32,120.06936144,30.32000988,168.86
33,120.06936643,30.31998799,258.75
34,120.06888484,30.31990530,168.86
35,120.06888984,30.31988341,78.75
36,120.06937142,30.31996610,168.86
37,120.06937642,30.31994421,258.75
38,120.06889483,30.31986152,168.86
39,120.06889982,30.31983963,78.75
40,120.06938141,30.31992232,168.86
41,120.06938640,30.31990044,258.75
42,120.06890482,30.31981774,168.86
43,120.06890981,30.31979585,78.75
44,120.06939140,30.31987855,348.71
45,120.06934899,30.32006186,252.02
46,120.06922455,30.32002699,342.18
47,120.06921784,30.32004501,72.02
48,120.06934228,30.32007988,342.18
49,120.06933557,30.32009791,252.02
50,120.06921113,30.32006304,342.18
51,120.06920441,30.32008106,72.02
52,120.06932886,30.32011593,342.18
53,120.06932215,30.32013395,252.02
54,120.06919770,30.32009908,342.18
55,120.06919099,30.32011711,72.02
56,120.06931544,30.32015198,342.18
57,120.06930873,30.32017000,252.02
58,120.06918428,30.32013513,342.18
59,120.06917757,30.32015315,72.02
60,120.06930202,30.32018803,342.18
61,120.06929531,30.32020605,252.02
62,120.06917086,30.32017118,342.18
63,120.06916415,30.32018920,72.02
64,120.06928860,30.32022407,342.18
65,120.06928189,30.32024210,252.02
66,120.06915744,30.32020723,342.18
67,120.06915073,30.32022525,72.02
68,120.06927518,30.32026012,342.18
69,120.06926847,30.32027814,252.02
70,120.06914402,30.32024327,342.18
71,120.06913731,30.32026130,72.02
72,120.06926176,30.32029617,342.18
73,120.06925505,30.32031419,252.02
74,120.06913060,30.32027932,342.18
75,120.06912389,30.32029734,72.02
76,120.06924834,30.32033222,342.18
77,120.06924163,30.32035024,252.02
78,120.06911718,30.32031537,342.18
79,120.06911047,30.32033339,72.02
80,120.06923492,30.32036826,342.18
81,120.06922821,30.32038629,252.02
82,120.06910376,30.32035142,342.18
83,120.06909705,30.32036944,72.02
84,120.06922150,30.32040431,72.02
