#序号,经度,纬度,航向角(度)
1,120.06901884,30.32024392,162.65
2,120.06910595,30.32000323,252.49
3,120.06908032,30.31999625,342.65
4,120.06899321,30.32023694,252.49
5,120.06896758,30.32022996,162.65
6,120.06905470,30.31998927,252.49
7,120.06902907,30.31998228,342.65
8,120.06894196,30.32022298,252.49
9,120.06891633,30.32021600,162.65
10,120.06900344,30.31997530,252.49
11,120.06897782,30.31996832,342.65
12,120.06889070,30.32020902,252.49
13,120.06886508,30.32020204,162.65
14,120.06895219,30.31996134,252.49
15,120.06892656,30.31995436,342.65
16,120.06883945,30.32019506,252.49
17,120.06881382,30.32018808,162.65
18,120.06890094,30.31994738,252.49
19,120.06887531,30.31994040,342.65
20,120.06878819,30.32018110,252.49
21,120.06876257,30.32017412,162.65
22,120.06884968,30.31993342,24.89
23,120.06886986,30.31997096,78.75
24,120.06935145,30.32005366,168.86
25,120.06935644,30.32003177,258.75
26,120.06887485,30.31994907,168.86
27,120.06887985,30.31992718,78.75
28,120.06936144,30.32000988,168.86
29,120.06936643,30.31998799,258.75
30,120.06888484,30.31990530,168.86
31,120.06888984,30.31988341,78.75
32,120.06937142,30.31996610,168.86
33,120.06937642,30.31994421,258.75
34,120.06889483,30.31986152,168.86
35,120.06889982,30.31983963,78.75
36,120.06938141,30.31992232,168.86
37,120.06938640,30.31990044,258.75
38,120.06890482,30.31981774,168.86
39,120.06890981,30.31979585,78.75
40,120.06939140,30.31987855,348.71
41,120.06934899,30.32006186,342.18
42,120.06922150,30.32040431,252.02
43,120.06920076,30.32039850,162.18
44,120.06932825,30.32005605,252.02
45,120.06930751,30.32005024,342.18
46,120.06918002,30.32039269,252.02
47,120.06915928,30.32038687,162.18
48,120.06928677,30.32004442,252.02
49,120.06926603,30.32003861,342.18
50,120.06913854,30.32038106,252.02
51,120.06911779,30.32037525,162.18
52,120.06924529,30.32003280,252.02
53,120.06922455,30.32002699,342.18
54,120.06909705,30.32036944,342.18
